service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,preference_upsert,payload_ne,payload_flip_both,service,preference_upsert--payload_flip_both,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_from_payload_p1,service,preference_upsert--target_from_payload_p1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_from_payload_p2,service,preference_upsert--target_from_payload_p2,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_from_payload_both,service,preference_upsert--target_from_payload_both,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_from_target_p1,service,preference_upsert--payload_from_target_p1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_from_target_p2,service,preference_upsert--payload_from_target_p2,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_from_target_both,service,preference_upsert--payload_from_target_both,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,observer_drop_p1,observer_loss,preference_upsert--observer_drop_p1,True,identity,global_bijection,False,False,False,False,False,True,True
sqlite,preference_upsert,payload_ne,observer_duplicate_p1,observer_retry,preference_upsert--observer_duplicate_p1,True,identity,global_bijection,False,False,False,False,False,True,True
sqlite,preference_upsert,payload_ne,undeclared_probe_local_projection,projection,preference_upsert--undeclared_probe_local_projection,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,masked_missing_p1,observer_masking,preference_upsert--masked_missing_p1,True,identity,global_bijection,True,True,True,True,False,False,False
sqlite,preference_upsert,payload_ne,masked_duplicate_p1,observer_masking,preference_upsert--masked_duplicate_p1,True,identity,global_bijection,True,True,True,True,False,False,False
sqlite,preference_upsert,payload_ne,masked_target_flip_p1,observer_masking,preference_upsert--masked_target_flip_p1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,masked_forbidden_p1,observer_masking,preference_upsert--masked_forbidden_p1,True,identity,global_bijection,True,True,True,True,False,False,False
sqlite,message_enqueue,target_literal,clean,clean,message_enqueue--clean,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,missing_p1,service,message_enqueue--missing_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,missing_p2,service,message_enqueue--missing_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,missing_both,service,message_enqueue--missing_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,duplicate_p1,service,message_enqueue--duplicate_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,duplicate_p2,service,message_enqueue--duplicate_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,duplicate_both,service,message_enqueue--duplicate_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,forbidden_p1,service,message_enqueue--forbidden_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,forbidden_p2,service,message_enqueue--forbidden_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,forbidden_both,service,message_enqueue--forbidden_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,message_enqueue,target_literal,target_constant_p1_0,service,message_enqueue--target_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_constant_p1_1,service,message_enqueue--target_constant_p1_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,message_enqueue,target_literal,target_constant_p2_0,service,message_enqueue--target_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_constant_p2_1,service,message_enqueue--target_constant_p2_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_constant_both_0,service,message_enqueue--target_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_constant_both_1,service,message_enqueue--target_constant_both_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,message_enqueue,target_literal,payload_constant_p1_0,service,message_enqueue--payload_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_constant_p1_1,service,message_enqueue--payload_constant_p1_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_constant_p2_0,service,message_enqueue--payload_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_constant_p2_1,service,message_enqueue--payload_constant_p2_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_constant_both_0,service,message_enqueue--payload_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_constant_both_1,service,message_enqueue--payload_constant_both_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_flip_p1,service,message_enqueue--target_flip_p1,True,identity,identity,False,False,False,True,False,False,False
sqlite,message_enqueue,target_literal,target_flip_p2,service,message_enqueue--target_flip_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_flip_both,service,message_enqueue--target_flip_both,True,identity,identity,False,False,False,True,False,False,False
sqlite,message_enqueue,target_literal,payload_flip_p1,service,message_enqueue--payload_flip_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_flip_p2,service,message_enqueue--payload_flip_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_flip_both,service,message_enqueue--payload_flip_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_from_payload_p1,service,message_enqueue--target_from_payload_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_from_payload_p2,service,message_enqueue--target_from_payload_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,target_from_payload_both,service,message_enqueue--target_from_payload_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_from_target_p1,service,message_enqueue--payload_from_target_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_from_target_p2,service,message_enqueue--payload_from_target_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,payload_from_target_both,service,message_enqueue--payload_from_target_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,message_enqueue,target_literal,observer_drop_p1,observer_loss,message_enqueue--observer_drop_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,message_enqueue,target_literal,observer_duplicate_p1,observer_retry,message_enqueue--observer_duplicate_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,message_enqueue,target_literal,undeclared_probe_local_projection,projection,message_enqueue--undeclared_probe_local_projection,True,identity,identity,False,False,False,True,False,True,True
sqlite,message_enqueue,target_literal,masked_missing_p1,observer_masking,message_enqueue--masked_missing_p1,True,identity,identity,True,True,True,True,False,False,False
sqlite,message_enqueue,target_literal,masked_duplicate_p1,observer_masking,message_enqueue--masked_duplicate_p1,True,identity,identity,True,True,True,True,False,False,False
