case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__compound_trigger__r000,record_update,compound_trigger,compound_trigger,random_relational_fuzzing,True,True,10,random_2:unexpected_kinds=net_send
record_update__compound_trigger__r000,record_update,compound_trigger,compound_trigger,cep,True,False,10,
record_update__compound_trigger__r001,record_update,compound_trigger,compound_trigger,document_trust,True,False,0,
record_update__compound_trigger__r001,record_update,compound_trigger,compound_trigger,nominal_repeat,True,False,10,
record_update__compound_trigger__r001,record_update,compound_trigger,compound_trigger,random_relational_fuzzing,True,True,10,random_4:unexpected_kinds=net_send
record_update__compound_trigger__r001,record_update,compound_trigger,compound_trigger,cep,True,False,10,
record_update__compound_trigger__r002,record_update,compound_trigger,compound_trigger,document_trust,True,False,0,
record_update__compound_trigger__r002,record_update,compound_trigger,compound_trigger,nominal_repeat,True,False,10,
record_update__compound_trigger__r002,record_update,compound_trigger,compound_trigger,random_relational_fuzzing,True,True,10,random_1:unexpected_kinds=net_send
record_update__compound_trigger__r002,record_update,compound_trigger,compound_trigger,cep,True,False,10,
record_update__compound_trigger__r003,record_update,compound_trigger,compound_trigger,document_trust,True,False,0,
record_update__compound_trigger__r003,record_update,compound_trigger,compound_trigger,nominal_repeat,True,False,10,
record_update__compound_trigger__r003,record_update,compound_trigger,compound_trigger,random_relational_fuzzing,True,False,10,
record_update__compound_trigger__r003,record_update,compound_trigger,compound_trigger,cep,True,False,10,
record_update__compound_trigger__r004,record_update,compound_trigger,compound_trigger,document_trust,True,False,0,
record_update__compound_trigger__r004,record_update,compound_trigger,compound_trigger,nominal_repeat,True,False,10,
record_update__compound_trigger__r004,record_update,compound_trigger,compound_trigger,random_relational_fuzzing,True,True,10,random_6:unexpected_kinds=net_send
record_update__compound_trigger__r004,record_update,compound_trigger,compound_trigger,cep,True,False,10,
record_update__sequence_trigger__r000,record_update,sequence_trigger,sequence_trigger,document_trust,True,False,0,
record_update__sequence_trigger__r000,record_update,sequence_trigger,sequence_trigger,nominal_repeat,True,False,10,
record_update__sequence_trigger__r000,record_update,sequence_trigger,sequence_trigger,random_relational_fuzzing,True,False,10,
record_update__sequence_trigger__r000,record_update,sequence_trigger,sequence_trigger,cep,True,False,10,
record_update__sequence_trigger__r001,record_update,sequence_trigger,sequence_trigger,document_trust,True,False,0,
record_update__sequence_trigger__r001,record_update,sequence_trigger,sequence_trigger,nominal_repeat,True,False,10,
record_update__sequence_trigger__r001,record_update,sequence_trigger,sequence_trigger,random_relational_fuzzing,True,False,10,
record_update__sequence_trigger__r001,record_update,sequence_trigger,sequence_trigger,cep,True,False,10,
record_update__sequence_trigger__r002,record_update,sequence_trigger,sequence_trigger,document_trust,True,False,0,
record_update__sequence_trigger__r002,record_update,sequence_trigger,sequence_trigger,nominal_repeat,True,False,10,
record_update__sequence_trigger__r002,record_update,sequence_trigger,sequence_trigger,random_relational_fuzzing,True,False,10,
record_update__sequence_trigger__r002,record_update,sequence_trigger,sequence_trigger,cep,True,False,10,
